__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/seq,/imu/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch_deg,/imu/orientation/roll_deg,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw_deg,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2]
89.980000,-0.010976,-0.006206,0.000619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,89.979000,0.031547,0.018368,9.821117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297668,0.028973,0.998208,0.000097,-0.002608,-6.854182,-0.059778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.080000,0.011112,0.003824,-0.000314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,90.079000,0.062083,-0.019945,9.778677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297937,0.028735,0.998194,0.000094,-0.002610,-6.881700,-0.060017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.180000,0.026639,0.020210,-0.025882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,90.179000,0.050146,0.032651,9.803118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297496,0.029602,0.998180,0.000101,-0.002607,-6.908119,-0.060247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.280000,-0.003800,-0.003248,0.000382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.000000,90.279000,0.043578,-0.009929,9.830965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297892,0.028984,0.998167,0.000095,-0.002610,-6.932028,-0.060456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.380000,0.029522,0.023304,-0.026790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,90.379000,0.064463,0.014438,9.744315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297294,0.030263,0.998152,0.000106,-0.002606,-6.960651,-0.060705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.480000,0.020098,0.021259,-0.029007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.000000,90.479000,0.043976,0.026600,9.802689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297221,0.029607,0.998135,0.000100,-0.002605,-6.992733,-0.060984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.580000,0.020977,0.020623,-0.031287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,90.579000,0.048419,0.007449,9.807918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297170,0.029340,0.998062,0.000094,-0.002604,-7.129237,-0.062173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.680000,0.023604,0.020152,-0.032460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,90.679000,0.051101,0.005204,9.803656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297263,0.029289,0.997986,0.000091,-0.002605,-7.268670,-0.063388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.780000,0.024677,0.021605,-0.032141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,90.779000,0.050791,0.002080,9.797726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297135,0.029499,0.997909,0.000089,-0.002604,-7.406189,-0.064585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.880000,0.022929,0.021608,-0.031809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.000000,90.879000,0.050946,0.006113,9.799337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297129,0.029468,0.997830,0.000086,-0.002604,-7.545148,-0.065795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
