timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
123.829,-2.435387875590242,-0.14095871546119734,0.22608939769347078,0.0017422569980252898,0.002082790037743864,0.6394468237094634,-0.7688305315048888,0.523460077119002,0.004973077704607365,0.0,0.0,0.0,0.3194827969904771
123.88,-2.4301789575348436,-0.16631935282620958,0.22608309773547813,0.0017696103675048595,0.0020519330004076775,0.632988914336686,-0.7741561162820925,0.5141077398529155,0.015702459680395728,0.0,0.0,0.0,0.32367479944148686
123.929,-2.4244788832209343,-0.1915826637509363,0.22609468882387074,0.001671008065146377,0.0021318118741061915,0.6261498765218855,-0.779698015414819,0.5064330813957787,0.0059155381721267275,0.0,0.0,0.0,0.3529219253941546
123.98,-2.4184329003375717,-0.2167079506042286,0.22606385871694962,0.0016044274225649902,0.0021336244321050347,0.6194630827818418,-0.7850212497313976,0.515046689243789,0.023715598035013635,0.0,0.0,0.0,0.37650235571309065
124.029,-2.412001537852925,-0.24185677136469924,0.22598687762601938,0.001409492340448119,0.002156041904888643,0.6129279097646594,-0.7901346355186387,0.5291924335346376,-0.006777584355266167,0.0,0.0,0.0,0.34302181647577057
124.08,-2.405029467703096,-0.2667518079437772,0.22605756820817396,0.0015035290275048727,0.0022087512058820403,0.6061521619372175,-0.7953442131539091,0.5154568084366954,-0.020200688338504455,0.0,0.0,0.0,0.31369522552963236
124.129,-2.3976433059038014,-0.2916168723476614,0.2260618037001657,0.0016179765341376416,0.0021463656039801262,0.5994456469213375,-0.8004109517327259,0.5257639383437854,0.008226234977673608,0.0,0.0,0.0,0.3255910850621907
124.18,-2.389921057243595,-0.316306500031196,0.22606940050768082,0.001661261217605645,0.0021009123180201553,0.5927850542454347,-0.8053562601990724,0.5180579324947887,0.015420345428209914,0.0,0.0,0.0,0.3429790072872739
124.229,-2.3817766656893347,-0.3408605274125943,0.2261091918334724,0.0016111994243229566,0.0022091043356919767,0.5859149666074172,-0.810367926191479,0.5149014777020007,0.00873507842037613,0.0,0.0,0.0,0.3418087978102975
124.28,-2.37316945039375,-0.365287686814578,0.22606735288734484,0.0016098922790172422,0.002141438654182053,0.5787731611198651,-0.8154841816090972,0.51800678875394,0.025178003167106583,0.0,0.0,0.0,0.3495840718503686
124.329,-2.364153022782993,-0.3895683567689092,0.2260337299921632,0.0015473823917452768,0.0021315417916406548,0.5718982470859444,-0.8203203381102705,0.5157819676885872,0.023384875085340318,0.0,0.0,0.0,0.35216487439439553
124.38,-2.3548487344323377,-0.41371131679916273,0.22604645825920963,0.0015386390324684464,0.0021460383519195806,0.5653106848037011,-0.8248738429336275,0.5082723502802574,0.016115655885348634,0.0,0.0,0.0,0.31102012316023664
124.429,-2.3451521129520274,-0.4376376322921973,0.22599977565842805,0.0014210435369869513,0.0021690570177425135,0.5580376539432111,-0.8298115765693299,0.532668279535103,0.006173167214263864,0.0,0.0,0.0,0.3693715407875095
124.479,-2.3349684110479423,-0.46133982267387186,0.22605948237705445,0.0014644389501042732,0.0022249241251160196,0.5508664589159425,-0.8345891501646838,0.5126752642880639,-0.014902554659957351,0.0,0.0,0.0,0.30136977713511565
124.529,-2.324608485113044,-0.48503589393614066,0.22609846231855657,0.0014696145574551232,0.0022895750201554865,0.544014901574692,-0.8390711441492656,0.522191220113522,-8.053179880543326e-05,0.0,0.0,0.0,0.33782504037291317
124.58,-2.3135677893933355,-0.5083386822785818,0.2260521607846986,0.001593575910752888,0.002160725441736149,0.5368847429819023,-0.843651328769557,0.5206053715966499,0.026139612887576463,0.0,0.0,0.0,0.352402429693009
124.629,-2.3021354089357837,-0.5317247991908033,0.2260906090792237,0.0014734146620896695,0.0022601351491278233,0.5295977217407873,-0.8482446427566217,0.5106159210882102,0.012014396641217812,0.0,0.0,0.0,0.3371604606538354
124.68,-2.2903191307467003,-0.5547336821918685,0.226099512594012,0.0014071434316330876,0.0023227502589137257,0.5224115663085932,-0.8526891462693775,0.514175121321363,0.021327254213555386,0.0,0.0,0.0,0.3995428563356611
124.729,-2.278013724131219,-0.5774924030019319,0.22602720327255674,0.0015455739391223634,0.00213099651506637,0.5151996313885062,-0.8570661642324928,0.5227918814284136,0.019838789887765357,0.0,0.0,0.0,0.31027302023973846
124.78,-2.2654920262463856,-0.6001018460351688,0.22610578830125466,0.001423865410681643,0.002317423664506074,0.507883985143471,-0.8614211860580387,0.5174793539028167,0.00931018319558316,0.0,0.0,0.0,0.36181570262727164
124.829,-2.252558764129531,-0.6225575452203449,0.2261079855471543,0.0013721759101082585,0.0023681699791493634,0.5006474091076076,-0.8656469723034103,0.5116172180898337,0.0032205425591874115,0.0,0.0,0.0,0.3308886758322124
124.879,-2.239202147592548,-0.6446671109898096,0.22601146683160084,0.0015315024793266148,0.002121811965475707,0.49337643328859954,-0.8698119609947653,0.5280284323048049,0.024705673632132247,0.0,0.0,0.0,0.3565831258822145
124.929,-2.2256178752131524,-0.6664743793838364,0.2261035913066214,0.001350537433022699,0.002379497812690695,0.4858796500884377,-0.874021441195088,0.5104232537679796,0.0020500756989610402,0.0,0.0,0.0,0.33721098729881294
124.979,-2.2115610169967987,-0.6881538815769721,0.2260959845367051,0.0012654509150348482,0.002395687624903036,0.47849854754449805,-0.8780841641395152,0.5171364599072659,-0.0018978899335276855,0.0,0.0,0.0,0.32684458844484954
125.029,-2.1970741215943934,-0.7095441987636191,0.22603961530011132,0.001365672288458173,0.0022598391348299203,0.4711334962820933,-0.8820579667727604,0.5179276042460429,-0.007086672723480292,0.0,0.0,0.0,0.32925724716711335
125.08,-2.182429094351953,-0.7307769270097306,0.22608194859897937,0.0011877255256536154,0.0024212628308711215,0.46357004555246817,-0.8860561718428815,0.519214670324621,-0.005620918277605053,0.0,0.0,0.0,0.3333232528464826
125.129,-2.167205844466657,-0.7517712943399604,0.2260746135334649,0.0011409560781100458,0.002433281895366155,0.45615074419928453,-0.8898984638288147,0.5239731658479249,-0.005109665615597503,0.0,0.0,0.0,0.33402974074648384
125.18,-2.1516020047301048,-0.7724092005313298,0.22604181862664618,0.0012433179527469838,0.0023322232689405417,0.4486651957632659,-0.8936960092815692,0.5190809303708359,-0.007389259474809673,0.0,0.0,0.0,0.35148651068274367
125.229,-2.135820428568342,-0.7928309570322772,0.22609444435143458,0.0011589576279211857,0.002453310265217391,0.4411039546492721,-0.8974519147445907,0.5219429170940272,-0.006258082141465171,0.0,0.0,0.0,0.3325641819161885
125.28,-2.1195754084064915,-0.8130149870051278,0.22610529541538293,0.0011797449901864187,0.002455761280239235,0.4335831210496821,-0.901109457601633,0.5221559422284282,-0.0014967059985690478,0.0,0.0,0.0,0.30053432764452725
125.329,-2.1030155369456054,-0.83295412245631,0.2260680769304667,0.001218003503481995,0.002377278577873384,0.42611202050933067,-0.9046664639476165,0.5178033566681981,0.0039370618134621505,0.0,0.0,0.0,0.35998639721052733
125.38,-2.0862485168594187,-0.8526241963407087,0.22609325276182787,0.001096598129088832,0.0024736209815384587,0.4184551762360594,-0.9082334194209281,0.5145967150298489,0.01967144643337093,0.0,0.0,0.0,0.3694049873262686
125.429,-2.0690615060621584,-0.8719539962449734,0.22607473670452463,0.0009618502358396181,0.002499880173398061,0.41079906581703307,-0.9117219713087403,0.5136353302407577,0.01805781217848701,0.0,0.0,0.0,0.3678962114105299
125.479,-2.0514922339971657,-0.8910446386747342,0.2260141933150789,0.0009131218559054898,0.0024589084892823188,0.4036139675166493,-0.9149256173061212,0.5147499793621116,-0.02728697154786544,0.0,0.0,0.0,0.2858746051653782
125.529,-2.0337266216725527,-0.9097074671397307,0.22605676864476387,0.000933947513955991,0.002508285817113363,0.39595400927555147,-0.9182664421522314,0.5197279787984301,-0.008175689679562004,0.0,0.0,0.0,0.34670806691671
125.58,-2.015685544895495,-0.9280280265159344,0.22608440555680828,0.0010051697153221737,0.002507040669822132,0.3880177195834963,-0.9216479553876016,0.5211661452971432,-0.002928894934735027,0.0,0.0,0.0,0.3326000413013525
125.629,-1.9972260222175648,-0.9460800143438073,0.22609225863052548,0.0010671675123764207,0.002506879937518832,0.38021621123114757,-0.9248936205983426,0.5080733141039313,-0.00586476723515944,0.0,0.0,0.0,0.34051662821884393
125.68,-1.9785410669027093,-0.9638853699454233,0.22609926832588584,0.0010322592682391902,0.0025236386682334893,0.3721682341881272,-0.928161285095412,0.512851038178519,0.013306111350891686,0.0,0.0,0.0,0.33509752431039896
125.729,-1.9595596214884647,-0.9813751517137174,0.22609292740847256,0.0009633622877228223,0.002541292380593155,0.36424449608775317,-0.9312993937697577,0.511599148782345,0.02634191375975456,0.0,0.0,0.0,0.347927375889299
125.78,-1.940214668090943,-0.9985615344960798,0.22607730311181504,0.0008990137904749267,0.002532263517412755,0.3565305814710214,-0.934279788870346,0.5105102913133766,0.0016669885840742693,0.0,0.0,0.0,0.30108968702650235
125.829,-1.9205752736114536,-1.0154329982234787,0.22605486506013003,0.0008518661262051969,0.0025214507901279376,0.3486742192407806,-0.9372402069090122,0.519485209546563,0.023090232656476056,0.0,0.0,0.0,0.36434110800938024
125.88,-1.9006603444286951,-1.0319614226082723,0.2260380844779336,0.0007592078120853345,0.0025235799750655645,0.3404376667998782,-0.9402633940399162,0.5224448034900938,-0.006060815117624296,0.0,0.0,0.0,0.3492952863760082
