timestamp,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
94.37,0.013,0.0,0.0,0.0,0.0,0.0
94.37,0.026,0.0,0.0,0.0,0.0,0.0
94.37,0.046,0.0,0.0,0.0,0.0,0.0
94.37,0.059,0.0,0.0,0.0,0.0,0.0
94.37,0.079,0.0,0.0,0.0,0.0,0.0
94.37,0.099,0.0,0.0,0.0,0.0,0.0
94.37,0.112,0.0,0.0,0.0,0.0,0.0
94.37,0.132,0.0,0.0,0.0,0.0,0.0
94.37,0.132,0.0,0.0,0.0,0.0,0.0
94.37,0.151,0.0,0.0,0.0,0.0,0.0
94.37,0.158,0.0,0.0,0.0,0.0,0.0
94.37,0.171,0.0,0.0,0.0,0.0,0.0
94.37,0.191,0.0,0.0,0.0,0.0,0.0
94.37,0.204,0.0,0.0,0.0,0.0,0.0
94.37,0.211,0.0,0.0,0.0,0.0,0.0
94.37,0.217,0.0,0.0,0.0,0.0,0.0
94.37,0.224,0.0,0.0,0.0,0.0,0.0
94.37,0.237,0.0,0.0,0.0,0.0,0.0
94.37,0.237,0.0,0.0,0.0,0.0,0.0
94.37,0.243,0.0,0.0,0.0,0.0,0.0
94.37,0.25,0.0,0.0,0.0,0.0,0.0
94.37,0.263,0.0,0.0,0.0,0.0,0.0
94.37,0.27,0.0,0.0,0.0,0.0,0.0
94.37,0.283,0.0,0.0,0.0,0.0,0.0
94.37,0.283,0.0,0.0,0.0,0.0,0.0
94.37,0.289,0.0,0.0,0.0,0.0,0.0
94.37,0.296,0.0,0.0,0.0,0.0,0.0
94.37,0.309,0.0,0.0,0.0,0.0,0.0
94.37,0.322,0.0,0.0,0.0,0.0,0.0
94.37,0.329,0.0,0.0,0.0,0.0,0.0
94.37,0.342,0.0,0.0,0.0,0.0,0.0
94.37,0.355,0.0,0.0,0.0,0.0,0.0
94.37,0.368,0.0,0.0,0.0,0.0,0.0
94.37,0.375,0.0,0.0,0.0,0.0,0.0
94.37,0.382,0.0,0.0,0.0,0.0,0.0
94.37,0.388,0.0,0.0,0.0,0.0,0.0
94.37,0.388,0.0,0.0,0.0,0.0,0.0
94.37,0.388,0.0,0.0,0.0,0.0,0.0
94.37,0.395,0.0,0.0,0.0,0.0,0.0
94.37,0.401,0.0,0.0,0.0,0.0,0.0
94.37,0.408,0.0,0.0,0.0,0.0,0.0
94.37,0.414,0.0,0.0,0.0,0.0,0.0
94.37,0.414,0.0,0.0,0.0,0.0,0.0
94.37,0.421,0.0,0.0,0.0,0.0,0.0
94.37,0.428,0.0,0.0,0.0,0.0,0.0
94.37,0.434,0.0,0.0,0.0,0.0,0.0
94.37,0.441,0.0,0.0,0.0,0.0,0.0
94.37,0.441,0.0,0.0,0.0,0.0,0.0
94.37,0.447,0.0,0.0,0.0,0.0,0.0
94.37,0.454,0.0,0.0,0.0,0.0,0.0
94.37,0.461,0.0,0.0,0.0,0.0,0.0
94.37,0.461,0.0,0.0,0.0,0.0,0.0
94.37,0.467,0.0,0.0,0.0,0.0,0.0
94.37,0.467,0.0,0.0,0.0,0.0,0.0
94.37,0.474,0.0,0.0,0.0,0.0,0.0
94.37,0.48,0.0,0.0,0.0,0.0,0.0
94.37,0.487,0.0,0.0,0.0,0.0,0.0
94.37,0.487,0.0,0.0,0.0,0.0,0.0
94.37,0.493,0.0,0.0,0.0,0.0,0.0
94.37,0.5,0.0,0.0,0.0,0.0,0.0
94.37,0.5,0.0,0.0,0.0,0.0,0.0
94.37,0.5,0.0,0.0,0.0,0.0,0.0
94.37,0.5,0.0,0.0,0.0,0.0,0.0
94.37,0.5,0.0,0.0,0.0,0.0,0.0
94.37,0.5,0.0,0.0,0.0,0.0,0.0
94.37,0.5,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
94.37,0.507,0.0,0.0,0.0,0.0,0.0
